brand,ingredient,nlem,source
Canesten,clotrimazole,0,curated
Fluka,fluconazole,1,curated
Forcan,fluconazole,1,curated
Zocon,fluconazole,0,curated
Sporanox,itraconazole,0,curated
Candiforce,itraconazole,0,curated
Terbicip,terbinafine,0,curated
Ketoconazole Nizral,ketoconazole,0,curated
Acyclovir Zovirax,acyclovir,1,curated
Herpex,acyclovir,0,curated
Valtrex,valacyclovir,0,curated
Oseltamivir Fluvir,oseltamivir,1,curated
Tamiflu,oseltamivir,0,curated
Cough syrup Ascoril,bromhexine+terbutaline+guaifenesin,0,curated
Benadryl,diphenhydramine,0,curated
Corex,chlorpheniramine+codeine,0,curated
Grilinctus,dextromethorphan,0,curated
Alex,dextromethorphan,0,curated
Vicks Action 500,paracetamol+phenylephrine+caffeine,0,curated
D Cold Total,paracetamol+phenylephrine+chlorpheniramine,0,curated
Sinarest,paracetamol+phenylephrine+chlorpheniramine,0,curated
Otrivin,xylometazoline,0,curated
Nasivion,oxymetazoline,0,curated
Budecort,budesonide,1,curated
Foracort,formoterol+budesonide,0,curated
Duolin,ipratropium+salbutamol,0,curated
Deriphyllin,etophylline+theophylline,0,curated
Theo-Asthalin,theophylline+salbutamol,0,curated
Montair,montelukast,0,curated
Montek,montelukast,0,curated
Ventorlin,salbutamol,0,curated
