name_a,name_b,severity,mechanism,source,url
enoxaparin,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
enoxaparin,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
enoxaparin,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
enoxaparin,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
enoxaparin,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
enoxaparin,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
enoxaparin,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
enoxaparin,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
dabigatran,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
dabigatran,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
dabigatran,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
dabigatran,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
dabigatran,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
dabigatran,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
dabigatran,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
dabigatran,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
rivaroxaban,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
rivaroxaban,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
rivaroxaban,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
rivaroxaban,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
rivaroxaban,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
rivaroxaban,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
rivaroxaban,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
rivaroxaban,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
apixaban,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
apixaban,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
apixaban,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
apixaban,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
apixaban,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
apixaban,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
apixaban,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
apixaban,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
aspirin,ibuprofen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
aspirin,diclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
aspirin,naproxen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
aspirin,aceclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
aspirin,mefenamic acid,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
aspirin,nimesulide,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
aspirin,indomethacin,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
aspirin,piroxicam,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
clopidogrel,ibuprofen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
clopidogrel,diclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
clopidogrel,naproxen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
clopidogrel,aceclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
clopidogrel,mefenamic acid,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
clopidogrel,nimesulide,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
clopidogrel,indomethacin,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
clopidogrel,piroxicam,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
ticagrelor,ibuprofen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
ticagrelor,diclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
ticagrelor,naproxen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
ticagrelor,aceclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
ticagrelor,mefenamic acid,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
ticagrelor,nimesulide,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
ticagrelor,indomethacin,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
ticagrelor,piroxicam,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
prasugrel,ibuprofen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
prasugrel,diclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
prasugrel,naproxen,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
prasugrel,aceclofenac,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
prasugrel,mefenamic acid,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
prasugrel,nimesulide,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
prasugrel,indomethacin,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
prasugrel,piroxicam,moderate,Additive antiplatelet effect plus NSAID-induced gastric mucosal injury raises GI bleeding risk.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
fluoxetine,phenelzine,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=phenelzine
fluoxetine,tranylcypromine,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=tranylcypromine
fluoxetine,isocarboxazid,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=isocarboxazid
fluoxetine,selegiline,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=selegiline
sertraline,phenelzine,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=phenelzine
sertraline,tranylcypromine,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=tranylcypromine
sertraline,isocarboxazid,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=isocarboxazid
sertraline,selegiline,major,Concurrent serotonergic and monoamine-oxidase-inhibiting agents can precipitate serotonin syndrome; a washout period is required when switching between the two classes.,"pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=selegiline
